id,lat,long,dailyImpacts,monthlyImpacts,value,CPM30,CPM14,CPM7,CPM1
787,-23.30817410,-47.65240550,178.357,5.350.710,"R$ 8.000,00","R$ 1,50","R$ 3,20","R$ 6,41","R$ 44,85"
801,-23.40476240,-47.31210960,176.318,5.289.540,"R$ 9.000,00","R$ 1,70","R$ 3,65","R$ 7,29","R$ 51,04"
806,-22.69934070,-50.28422730,161.866,4.855.980,"R$ 8.000,00","R$ 1,65","R$ 3,53","R$ 7,06","R$ 49,42"
807,-22.21634200,-49.83991790,165.068,4.952.040,"R$ 8.000,00","R$ 1,62","R$ 3,46","R$ 6,92","R$ 48,46"
808,-23.60166300,-48.04204110,205.358,6.160.740,"R$ 4.500,00","R$ 0,73","R$ 1,57","R$ 3,13","R$ 21,91"
809,-22.21634200,-49.83991790,165.068,4.952.040,"R$ 8.000,00","R$ 1,62","R$ 3,46","R$ 6,92","R$ 48,46"
810,-22.21634200,-50.28422730,205.358,6.160.740,"R$ 8.000,00","R$ 1,30","R$ 2,78","R$ 5,57","R$ 38,96"
812,-23.35518110,-47.50566190,162.220,4.866.600,"R$ 8.000,00","R$ 1,64","R$ 3,52","R$ 7,05","R$ 49,32"
813,-21.01986240,-47.66692720,168.221,5.046.630,"R$ 8.000,00","R$ 1,59","R$ 3,40","R$ 6,79","R$ 47,56"
815,-20.54348280,-48.62048480,175.589,5.267.670,"R$ 8.000,00","R$ 1,52","R$ 3,25","R$ 6,51","R$ 45,56"
816,-23.44516600,-46.44993600,364.451,10.933.530,"R$ 14.000,00","R$ 1,28","R$ 2,74","R$ 5,49","R$ 38,41"
817,-23.44516600,-46.44993600,364.451,10.933.530,"R$ 14.000,00","R$ 1,28","R$ 2,74","R$ 5,49","R$ 38,41"
818,-23.44475000,-46.44906600,365.341,10.960.230,"R$ 14.000,00","R$ 1,28","R$ 2,74","R$ 5,47","R$ 38,32"
819,-23.44475000,-46.44906600,365.341,10.960.230,"R$ 14.000,00","R$ 1,28","R$ 2,74","R$ 5,47","R$ 38,32"
820,-23.37190010,-47.44780070,162.137,4.864.110,"R$ 8.000,00","R$ 1,64","R$ 3,52","R$ 7,05","R$ 49,34"
556,-23.51831760,-47.46435630,339.877,10.196.310,"R$ 8.000,00","R$ 0,78","R$ 1,68","R$ 3,36","R$ 23,54"
