id,name,latitude,longitude,kind,media
500835,"RODOVIA ARCHIMEDES LAMMOGLIA, KM 29+500 LD - I",-23.2594519,-47.3227596,URBANO,OUTDOOR
500836,"RODOVIA ARCHIMEDES LAMMOGLIA, KM 29+500 LD II",-23.2594519,-47.3227596,URBANO,OUTDOOR
500654,AV. MONSENHOR SECLER X OTONIE SAMPAIO-BAIRRO,-23.213012, -47.508005,URBANO,OUTDOOR
500655,AV. MONSENHOR SECLER X OTONIE SAMPAIO- CENTRO,-23.213012, -47.507886,URBANO,OUTDOOR
500541,RODOVIA HILARIO FERRARI- PROX. ROTATÓRIA AV. GASPER LIBERO X AV. MARECHAL RONDON - SENTIDO CENTRO I,-23.2196463,-47.2611644,URBANO,OUTDOOR
500542,"RODOVIA HILÁRIO FERRARI, PROX. ROTATÓRIA AV. GASPER LIBERO X AV. MARECHAL RONDON - SENTIDO CENTRO II",-23.2196463,-47.2611644,URBANO,OUTDOOR
500619,"AV.DOS TRABALHADORES,200-QUADRA LOTE 29- VILA NOVA",-23.205449, -47.286766,URBANO,OUTDOOR
500620,"AV. MARECHAL RONDON,300- LD VIADUTO FERROVIÁRIO I",-23.212526,-47.287022,URBANO,OUTDOOR
500621,"AV. CÁSPER LIBERO,1973- JARDIM SANTA CRUZ",-23.217998,-47.264543,URBANO,OUTDOOR
500634,"RUA DAS BROMÉLIAS, 80 - PORTO SEGURO",-23.1860948,-47.279389,URBANO,OUTDOOR
500739,"AVJOSÉ MARIA DE OLIVEIRA,203- V.NORMAI-SENT.CENTRO",-23.185285, -47.312057,URBANO,OUTDOOR
500740,"AVJOSÉ MARIA DE OLIVEIRA,203-V.NORMAII-SENT.CENTRO",-23.185325,-47.312081,URBANO,OUTDOOR
500763,"AV. MARECHAL RONDON,300- LD VIADUTO FERROVIÁRIO II",-23.212498,-47.286981,URBANO,OUTDOOR
500816,"AV. JOSÉ MARIA DE OLIVEIRA,203-  V.NORMA- I -SENT. BAIRRO ",-23.1851315,-47.3117895,URBANO,OUTDOOR
500817,"AV. JOSÉ MARIA DE OLIVEIRA,203-  V.NORMA- II -SENT. BAIRRO ",-23.1851315,-47.3117895,URBANO,OUTDOOR
500818,RUA PRESIDENTE WENCESLAU X  RUA 24 DE OUTUBRO- PLACA I,-23.198433,-47.294202,URBANO,OUTDOOR
500819,RUA PRESIDENTE WENCESLAU X  RUA 24 DE OUTUBRO- PLACA II,-23.198433,-47.294202,URBANO,OUTDOOR
500822,"RUA MARECHAL DEODORO, Nº 1750 X RUA REGENTE FEIJÓ- JD. BRASIL- I",-23.1979016,-47.2826148,URBANO,OUTDOOR
500823,"RUA MARECHAL DEODORO, Nº 1750 X RUA REGENTE FEIJÓ- JD. BRASIL- II",-23.1979016,-47.2826148,URBANO,OUTDOOR
500824,RODOVIA DA CONVENÇÃO- ALTURA DO Nº 760- LADO TENDA ATACADO- SENTIDO SALTO,-23.2179748,-47.2990546,RODOVIA,OUTDOOR
500825,RODOVIA DA CONVENÇÃO- ALTURA DO Nº 760- LADO TENDA ATACADO- SENTIDO ITU,-23.2179748,-47.2990546,RODOVIA,OUTDOOR
